turns,white_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_shortname_cod,opening_variation_cod,rated_cod
61,1919,2,3,2,19,29,612,1
86,1195,4,1,0,19,63,612,1
27,1867,9,3,0,28,109,9,1
37,1371,3,3,2,19,61,299,1
52,1415,6,2,0,19,102,535,1
121,1817,5,3,2,19,109,381,1
28,1152,2,1,0,187,109,612,1
34,1216,4,3,0,315,83,0,1
50,1196,2,1,0,315,70,612,1
8,1576,5,3,0,19,49,105,1
17,1586,5,3,2,19,94,309,1
104,1340,2,3,0,19,94,612,1
119,1951,1,3,2,311,33,612,1
96,1931,4,2,0,19,84,612,1
50,1294,9,1,0,315,52,211,1
58,1461,3,1,0,19,61,363,1
66,1697,10,3,0,102,38,18,1
85,1902,4,1,2,19,109,385,1
45,1810,9,3,0,19,52,137,1
23,1506,7,3,2,108,90,229,1
70,1029,1,1,0,19,1,612,1
45,1513,5,1,2,102,50,50,1
23,1553,4,3,2,236,83,0,1
117,1595,5,1,2,26,102,612,1
33,1930,10,3,2,102,109,255,1
118,1838,3,3,0,56,94,326,1
55,1767,1,3,2,19,49,612,1
51,1749,7,3,2,19,52,138,1
59,1821,3,1,2,102,17,612,1
67,2021,4,3,2,19,61,221,1
53,1459,4,2,2,19,109,612,1
67,1042,3,2,2,54,73,349,1
27,1328,5,3,2,361,116,612,0
52,1543,1,1,0,19,68,612,1
21,1756,4,1,2,187,61,110,1
46,1356,2,0,1,356,104,612,1
25,1636,4,3,2,104,24,136,0
71,2099,4,1,2,189,57,612,1
125,1832,3,2,2,102,109,530,1
70,1461,5,3,0,19,101,560,0
64,1806,5,1,0,19,70,86,1
53,2154,3,3,2,236,109,28,1
60,1622,10,3,0,108,38,18,1
64,1158,3,1,0,19,61,370,1
70,1565,5,3,0,28,26,612,1
20,1299,3,3,2,117,61,591,1
74,1744,9,3,0,300,109,256,1
93,1459,3,3,0,194,109,99,1
146,1977,2,3,0,213,33,543,0
92,1655,2,3,0,108,61,612,1
33,1466,7,3,2,117,102,181,1
28,1858,7,3,0,264,38,599,0
70,1706,5,1,0,108,94,309,1
53,1990,2,1,2,102,127,432,1
100,1349,4,1,0,187,0,472,1
43,2156,5,3,2,108,50,428,0
81,1490,6,3,0,37,52,476,1
141,1445,3,1,2,197,61,565,1
116,1729,3,3,0,189,109,28,1
2,1409,2,3,2,187,61,612,1
41,1477,3,1,2,65,33,559,1
87,1582,3,2,2,19,10,612,1
55,1615,3,2,2,108,38,377,1
40,1499,2,1,0,19,33,274,1
62,1811,8,3,0,19,106,137,1
45,1903,2,3,2,361,70,612,1
57,1525,8,1,2,187,84,137,0
39,1758,8,1,2,19,52,211,1
48,1500,3,1,0,260,109,99,0
139,1370,1,3,2,2,121,612,1
40,1500,2,1,0,315,97,0,0
83,1715,4,3,2,102,104,349,0
68,1550,5,3,0,19,83,612,1
91,1949,3,2,2,361,94,0,1
35,1886,6,1,2,19,90,459,1
45,1500,2,1,2,248,33,43,0
50,1558,5,3,0,19,38,181,1
61,1406,7,1,2,356,90,181,0
32,1162,3,1,0,37,34,612,1
78,986,2,1,0,102,104,612,1
63,1375,4,3,2,19,61,152,1
106,1010,1,1,0,37,68,612,1
43,2003,5,1,2,19,17,348,1
47,1636,4,1,2,19,104,337,1
53,1387,2,1,2,222,79,612,1
42,1477,7,3,2,368,84,138,0
99,1395,5,1,2,21,106,612,0
40,1374,4,3,0,19,61,330,1
20,1073,4,3,0,19,55,612,1
85,1737,6,3,2,19,109,28,1
89,1566,1,3,2,19,93,612,1
40,1560,5,1,0,103,90,130,1
95,1562,6,3,0,316,78,553,1
69,2211,5,1,2,37,38,408,1
11,1290,9,3,2,19,102,357,1
141,1799,3,3,0,19,38,377,1
86,1621,10,2,0,19,109,137,1
80,1741,8,2,0,19,109,307,1
67,1639,1,3,0,50,49,612,1
66,1579,1,3,0,26,121,612,1
51,1776,7,3,2,258,38,599,1
41,1300,6,1,2,108,109,115,1
78,2001,6,2,0,315,25,612,1
21,1708,5,3,2,21,101,575,0
33,1678,10,3,2,19,26,612,0
16,1199,1,1,0,379,49,612,1
40,1451,4,3,0,390,61,110,1
93,1507,5,3,2,236,122,333,1
98,1788,4,3,0,19,94,543,1
73,1404,2,0,1,19,9,171,1
79,1638,5,1,2,19,33,274,1
36,1460,4,1,0,253,97,446,1
121,1933,4,2,2,19,30,612,1
76,1508,2,1,0,103,17,612,0
72,1159,5,1,0,391,83,1,1
119,1852,4,0,1,21,109,385,1
58,1504,4,3,0,211,104,337,0
64,1389,2,1,0,19,17,612,1
24,1764,4,3,2,19,109,206,0
129,2113,2,1,2,19,94,612,1
43,1170,3,2,2,19,59,612,1
67,1333,6,3,2,19,40,612,1
35,1854,3,1,2,211,38,282,1
36,1203,1,1,0,19,86,612,1
72,1673,4,1,0,108,90,612,1
63,2062,3,3,2,187,38,282,1
97,1584,5,2,2,361,17,181,0
25,1543,8,3,0,236,36,248,0
43,1742,3,1,2,37,61,370,0
71,1634,1,1,2,361,121,612,1
69,1802,7,0,1,313,83,371,0
44,1886,3,3,0,108,38,277,1
92,1939,6,3,0,110,116,598,1
51,1395,4,3,0,75,61,110,1
67,1460,4,1,2,19,59,377,1
70,1696,1,1,0,311,3,612,1
84,1291,4,3,2,19,109,385,0
55,1693,2,3,2,356,48,612,1
96,1431,8,0,1,200,106,479,1
29,1601,7,1,2,311,36,516,0
83,1518,1,3,2,19,49,612,1
18,1559,2,3,2,19,32,0,0
58,1376,8,3,0,19,36,248,1
70,1950,3,0,1,21,57,612,0
93,1461,4,1,2,311,55,612,1
47,1521,2,1,2,315,127,500,0
89,1949,6,1,2,19,104,314,1
7,1156,3,0,1,19,61,591,1
124,1676,5,3,0,248,110,0,1
101,1908,6,1,2,19,102,77,1
46,1046,3,2,0,19,17,100,1
52,1930,8,3,0,19,109,409,1
90,1616,7,3,0,37,109,128,1
41,1337,3,3,2,19,59,612,1
26,1340,3,3,0,26,61,299,1
46,1654,3,1,0,37,38,533,1
122,1366,5,0,1,19,98,612,1
66,1773,4,2,0,102,104,349,0
86,1391,4,3,0,113,109,141,1
17,1970,6,3,2,19,102,83,0
60,1543,1,3,0,102,121,612,1
119,1949,7,0,1,19,10,575,0
113,1563,7,2,2,187,36,223,0
56,1507,3,3,0,236,38,377,1
97,1559,3,1,2,19,38,282,1
66,1739,7,2,0,312,36,248,1
78,1610,2,1,0,19,48,612,1
102,1206,1,1,0,104,121,612,1
20,1493,4,3,0,19,61,317,0
12,1758,6,3,0,19,52,476,1
47,1366,3,1,2,110,34,612,1
59,2060,7,3,2,311,17,18,1
145,1474,6,1,2,315,102,535,0
89,1579,4,1,2,19,104,337,1
42,1463,1,3,2,19,68,612,1
91,1713,4,3,2,315,10,76,1
11,1315,2,1,2,19,74,612,1
97,1456,3,0,1,19,38,533,1
99,1619,3,2,2,358,84,3,1
21,1289,5,2,2,315,83,1,0
56,1418,3,3,0,19,94,326,1
51,1589,2,3,2,19,127,493,0
43,2081,2,3,2,368,84,2,1
135,1719,4,1,2,110,83,0,1
53,1640,4,3,2,19,90,612,1
96,1528,4,3,0,19,10,76,1
37,1711,4,3,2,377,10,76,1
32,1393,6,3,2,28,122,527,0
52,1879,5,3,0,19,55,612,1
31,1330,3,3,2,236,59,612,0
17,1848,4,3,2,211,109,206,0
51,1709,1,3,2,19,49,612,1
74,1826,3,3,0,28,109,504,1
36,963,3,3,0,329,84,3,0
47,1998,5,3,2,189,83,612,1
84,1331,3,1,0,361,10,612,1
43,1704,7,3,2,19,36,516,1
48,1890,8,3,2,19,17,13,1
10,1277,7,0,1,70,102,181,0
73,1420,9,3,2,300,102,181,0
118,1552,9,3,0,104,90,181,1
121,1238,1,1,2,188,121,612,1
47,2202,3,3,2,361,38,377,1
57,1937,3,3,2,19,57,612,1
94,1721,4,1,0,19,109,612,1
34,1862,6,1,0,19,52,476,1
40,1444,2,1,0,298,9,171,1
77,1635,5,0,1,19,83,612,1
39,1943,2,3,2,19,85,612,1
49,1301,3,1,2,236,109,99,0
11,1498,2,3,2,19,104,612,1
29,1773,3,3,2,315,20,0,1
57,1832,1,1,2,19,73,612,1
50,1340,4,3,2,171,61,591,1
27,1500,2,3,2,288,104,612,0
57,2210,6,3,2,361,33,543,0
64,1988,8,3,0,19,106,479,1
53,1960,2,3,2,19,127,280,1
104,1576,8,3,0,28,109,206,0
49,1906,7,3,2,108,106,612,1
77,2135,1,3,2,19,9,612,1
75,1401,6,0,1,374,38,465,1
76,1515,1,3,0,102,121,612,1
49,1346,4,1,2,19,63,612,1
47,1631,8,3,0,236,52,179,1
81,1094,4,1,2,108,122,606,1
54,1695,5,1,0,19,94,309,1
73,1976,3,1,2,315,38,277,1
90,1512,8,1,0,19,106,137,1
86,1540,2,3,0,187,76,612,1
53,1680,4,3,0,19,109,385,1
27,1492,5,1,2,368,63,342,1
111,1383,4,1,2,19,61,591,1
16,1730,8,3,0,248,109,307,1
29,1580,5,3,2,19,61,554,1
12,1681,4,3,0,19,109,612,1
139,1736,2,0,1,19,76,612,1
103,1729,7,0,1,19,109,392,1
48,1429,2,3,0,108,70,612,1
30,1518,6,3,2,361,83,310,1
36,1727,3,3,0,102,38,277,1
26,1471,2,3,0,315,38,0,1
49,1500,4,1,2,370,61,110,0
89,1577,3,3,2,19,10,612,1
136,2046,2,2,0,19,48,612,1
52,1516,2,1,0,19,93,612,1
90,1565,3,1,0,19,109,99,1
37,1845,1,3,2,311,93,612,1
89,1359,3,1,2,19,61,591,1
60,1285,3,1,0,19,122,612,1
107,1833,4,3,2,108,97,446,1
44,1416,2,3,2,19,109,612,1
7,1573,2,2,2,19,70,612,1
60,1688,8,1,0,103,83,181,1
30,1789,4,3,0,253,109,241,1
49,1792,5,3,2,113,94,144,1
27,1425,4,3,2,108,74,200,1
27,1431,6,3,2,37,90,129,1
41,1617,5,3,2,19,83,1,1
65,1392,2,1,2,18,14,612,0
20,1545,3,3,0,234,38,282,1
93,1455,2,3,2,102,32,0,1
49,1419,2,2,2,19,33,274,1
60,1072,1,1,0,203,68,612,1
38,1807,9,3,0,19,52,137,0
17,1742,6,1,2,187,52,47,1
71,1609,4,3,2,19,109,385,1
67,1567,8,3,2,102,52,569,1
31,1511,3,3,2,341,84,3,1
58,1655,5,3,0,19,58,377,1
31,1800,4,1,2,315,96,501,1
61,2191,5,1,2,56,94,309,1
111,1503,3,3,2,19,50,410,1
113,1174,2,3,2,311,38,0,1
106,2150,2,3,0,361,70,612,1
71,1864,3,3,0,19,109,504,1
29,1352,4,3,2,311,94,132,0
31,1684,6,3,2,37,55,612,1
17,1700,8,3,2,41,106,137,1
70,1285,5,1,0,19,66,612,0
81,1500,8,3,2,377,33,22,1
53,1473,6,3,2,236,102,612,1
47,1307,4,1,2,28,94,132,1
56,1533,7,3,2,236,90,129,1
54,1462,4,3,0,236,59,377,1
16,1730,4,3,0,19,109,385,1
11,1309,5,3,2,19,55,262,1
44,1500,2,3,0,54,104,612,1
15,1678,10,1,2,31,26,612,1
105,1397,6,2,2,19,58,612,1
58,1678,2,3,0,110,70,612,1
35,1174,4,3,0,108,90,322,1
73,1779,2,1,2,19,48,612,1
74,1786,7,3,0,311,106,481,0
13,1871,7,3,2,19,52,569,1
15,1321,7,1,2,202,109,392,1
36,1528,6,3,0,203,104,314,0
52,1641,5,3,0,108,38,181,1
17,1467,6,3,2,19,102,137,1
86,1776,7,3,0,19,17,402,1
91,1404,2,3,2,361,109,612,1
14,1500,2,3,2,19,76,612,0
66,1730,5,3,0,19,17,18,1
96,1910,7,3,0,31,90,181,1
86,1500,4,2,0,19,96,501,1
71,1795,10,1,2,102,8,348,1
53,1831,6,1,2,31,38,21,1
78,1198,6,1,0,211,87,249,1
69,1533,1,1,2,104,120,612,1
40,1363,7,3,0,19,106,612,1
51,1744,2,1,2,248,33,274,1
52,1301,2,3,0,236,109,612,0
75,1893,8,3,2,19,70,58,1
86,1624,4,3,0,315,83,0,1
28,1580,5,3,0,102,90,386,0
48,1607,5,1,0,117,17,18,1
73,1671,2,3,0,19,17,612,1
17,1589,5,1,2,19,83,1,0
29,1650,6,3,0,19,102,535,1
92,2182,6,3,0,37,108,12,1
31,1600,7,3,2,376,109,392,0
56,1719,6,3,0,19,102,380,1
23,1494,3,3,2,102,33,274,1
52,1764,5,1,0,104,90,386,1
87,1480,6,3,2,363,102,148,1
124,1648,3,3,0,316,75,612,1
130,1272,1,0,1,167,53,612,0
2,1055,1,3,0,124,121,612,1
42,973,1,3,0,19,121,612,1
69,2340,4,1,2,19,94,53,1
33,1430,3,1,2,19,109,99,0
33,1539,9,3,2,108,90,440,0
98,1633,5,3,0,19,83,1,1
53,1839,5,3,2,315,55,612,1
93,1129,5,1,2,19,50,48,1
59,2298,8,3,2,377,17,137,1
57,1710,3,3,2,350,109,530,1
21,1200,3,3,2,19,38,277,1
16,1622,3,2,0,102,55,612,1
48,1408,6,1,0,236,52,47,1
124,1283,5,1,0,361,109,381,0
25,1151,9,3,0,253,11,467,1
11,1681,4,3,2,199,90,322,1
43,1407,4,3,2,37,104,349,1
77,1369,2,3,0,19,127,280,1
90,1133,3,3,0,102,109,99,0
39,1210,2,1,2,19,42,612,1
3,1658,3,2,2,311,59,612,0
67,1702,3,3,0,19,94,326,1
60,1130,6,1,0,19,55,612,1
109,2214,2,0,1,248,9,171,1
40,1532,3,3,0,19,17,233,1
57,2105,6,1,2,311,90,375,1
86,1524,3,2,0,311,109,99,1
71,1392,6,3,2,19,52,47,1
39,2213,3,1,2,19,38,377,1
73,1776,3,1,2,19,94,610,1
43,1758,4,3,2,19,94,132,1
52,1780,7,3,0,311,83,182,1
63,1626,2,3,0,19,73,247,1
31,1360,5,3,2,31,74,297,1
46,1455,7,3,0,102,17,18,1
63,1500,7,3,2,108,17,18,0
40,2126,8,3,0,311,36,485,1
124,2127,2,3,0,311,50,612,1
137,2070,8,0,1,238,109,193,1
39,1370,5,1,2,236,83,612,0
50,1289,1,3,0,187,86,612,1
6,1104,2,3,2,108,33,274,0
89,1947,8,1,2,264,115,473,0
33,1831,3,1,2,315,61,299,1
97,1780,4,3,2,19,96,501,1
95,1764,4,1,2,21,61,110,1
36,1913,2,3,0,19,38,0,1
113,1589,7,3,0,19,106,612,1
96,1211,6,1,0,103,94,144,1
51,1336,8,3,2,187,36,248,1
55,1709,2,3,0,197,79,612,0
16,1393,6,3,0,108,52,47,1
71,1600,6,1,2,19,20,377,1
59,1595,10,1,2,65,38,18,1
55,2108,5,1,2,315,83,1,1
115,1488,3,2,2,19,38,282,1
54,1705,6,3,0,19,102,535,1
73,1258,3,1,2,108,109,141,1
11,1681,3,3,2,138,109,141,1
122,1584,4,1,0,37,59,377,0
43,1758,4,3,2,19,94,132,1
60,1325,2,3,0,361,48,612,1
54,1604,5,3,2,378,83,612,1
84,1548,6,3,0,108,72,612,1
65,1884,6,3,2,19,74,472,1
32,2073,9,3,0,104,7,604,1
11,1252,3,1,2,19,10,612,1
34,1415,3,3,2,248,109,99,1
72,1829,2,3,0,102,70,612,1
56,1738,5,3,0,19,109,156,1
117,1686,7,1,2,19,106,612,1
61,1663,4,1,2,187,94,534,0
58,1499,3,1,0,19,10,612,1
60,1215,3,3,0,377,109,530,1
50,1913,1,3,2,102,39,612,0
51,1641,5,1,2,311,74,472,1
30,1514,8,3,0,108,52,137,0
73,2028,2,3,2,344,33,543,1
57,1493,3,1,2,19,38,377,1
129,1437,1,3,2,303,39,612,1
46,1736,4,1,0,102,10,76,1
78,1146,5,1,0,31,106,612,1
52,1358,5,1,0,19,101,575,1
96,1506,3,1,0,19,61,591,0
30,1629,6,1,0,314,102,535,1
53,1406,9,2,2,19,17,32,1
83,1226,4,1,2,19,10,76,1
110,1500,3,1,0,248,109,530,0
65,1500,5,1,2,315,109,157,1
103,2283,4,0,1,248,109,139,1
101,1617,1,3,2,19,121,612,1
96,2068,4,3,0,19,90,612,0
62,1486,5,2,0,361,126,612,1
69,1703,4,3,0,104,99,612,0
145,1964,10,2,1,102,38,465,1
60,1510,2,3,0,361,127,432,1
100,1519,4,0,1,19,109,612,0
88,1704,4,1,0,104,10,76,1
40,1923,6,3,0,315,83,183,1
47,1636,4,1,2,117,104,337,1
130,1128,2,1,0,388,49,543,0
59,1672,3,3,2,19,109,504,1
44,1320,4,1,0,19,73,350,1
96,1585,3,3,0,352,75,612,1
111,1347,7,1,2,19,36,248,1
61,1835,7,3,2,88,83,182,0
59,1507,2,3,0,19,34,612,1
53,1500,6,3,0,325,87,249,0
34,1497,2,1,0,37,79,612,1
50,1136,1,3,0,147,68,612,0
79,1775,4,2,2,311,109,206,1
83,1803,10,2,2,19,109,362,1
134,1910,8,3,0,19,38,548,1
27,1336,2,1,2,108,70,612,0
68,1458,1,3,2,358,103,612,1
69,1461,5,1,2,19,95,577,1
91,1902,6,3,2,19,7,612,1
67,1914,8,3,2,19,102,76,1
59,1318,2,3,2,19,79,612,0
53,1617,9,3,2,19,102,357,1
47,1592,6,1,2,102,106,308,1
37,1646,6,3,0,117,102,535,0
30,1715,7,1,0,223,17,18,1
49,1724,5,2,2,361,8,74,1
64,1299,3,1,0,19,109,99,1
48,1298,3,3,0,360,38,277,1
73,1557,9,3,2,108,55,612,1
57,1158,7,1,2,19,83,182,1
70,1328,6,1,0,102,102,77,1
45,1253,6,1,2,19,83,183,1
84,1525,5,3,0,19,66,612,1
34,1253,3,3,0,236,61,363,0
11,1510,1,3,2,19,121,612,1
86,1442,3,1,0,19,109,612,1
66,1236,3,3,0,322,17,100,1
41,1826,2,3,2,19,70,612,0
24,1061,3,2,0,188,61,299,1
43,1386,1,0,1,19,49,612,1
2,1761,2,2,0,19,109,612,0
70,1200,4,3,0,54,10,414,0
74,1500,3,3,0,315,38,377,0
65,1343,4,1,2,187,73,350,0
18,1244,4,3,0,19,82,612,1
23,1645,5,3,2,357,83,612,1
72,1895,4,3,0,361,109,385,1
77,1854,7,3,0,315,106,612,1
78,1496,2,3,0,361,86,543,1
37,1911,1,0,1,19,9,612,1
37,1693,3,1,2,38,94,326,0
71,1853,3,1,2,19,75,612,1
48,1142,6,3,2,108,82,1,1
35,1935,7,3,2,19,106,612,1
38,1849,5,3,2,19,106,612,0
46,1424,6,0,1,19,102,77,1
59,1900,9,3,2,26,102,357,1
16,1752,3,3,2,350,38,277,0
126,1622,3,0,1,350,94,132,1
57,2264,5,1,2,187,94,309,0
41,1773,5,3,2,311,101,575,1
51,1936,6,0,1,19,90,129,1
35,1189,4,0,1,19,0,353,1
70,1812,3,1,0,19,94,610,0
63,1482,5,2,2,31,82,0,1
90,1534,3,1,0,20,38,434,1
53,1421,5,3,2,19,109,285,1
47,1410,2,1,2,108,79,612,1
71,1877,4,1,2,19,109,612,1
20,1253,2,3,0,108,109,612,1
99,1646,8,3,2,19,109,213,1
46,1231,3,3,0,361,61,363,1
60,2011,3,1,0,19,94,610,1
32,1342,9,3,0,19,52,211,1
78,1492,3,1,0,298,33,274,1
113,1750,4,3,2,108,61,110,1
37,1890,2,3,0,108,33,122,1
125,1848,4,3,2,26,104,349,1
86,1511,3,2,0,303,61,591,1
62,1417,2,3,0,108,109,612,1
27,1987,7,3,0,29,82,2,0
39,1581,3,3,2,200,94,0,1
19,2294,7,1,2,19,106,612,0
2,1633,2,2,0,26,61,612,1
65,1239,5,1,2,323,83,1,1
35,1385,5,1,2,196,83,1,1
68,2211,4,3,0,19,50,449,1
92,1876,7,3,0,393,52,138,1
95,2116,8,1,2,19,72,137,1
82,2025,6,3,0,344,104,425,1
79,1708,2,3,2,19,84,2,1
33,1770,3,3,2,19,94,610,1
62,1828,5,3,0,19,74,263,1
97,1213,2,1,2,19,48,612,1
30,1368,5,3,0,37,87,612,1
71,1435,7,2,2,19,52,211,0
73,1847,5,3,2,102,83,612,1
29,1523,7,3,0,19,36,248,1
29,1699,2,2,2,311,33,122,1
82,1697,5,1,0,102,86,551,0
58,1510,6,3,0,128,102,83,1
78,1500,4,3,2,32,33,40,0
51,1500,6,3,2,95,104,314,0
54,1825,3,3,0,107,38,282,1
74,1606,3,2,0,108,109,99,1
2,1646,2,0,1,158,50,612,1
36,1578,9,3,0,117,109,256,1
75,1500,2,3,2,102,127,493,0
81,1500,6,3,2,19,102,535,0
74,1513,5,3,0,19,101,575,0
66,1112,3,1,0,21,38,277,1
86,1232,2,1,0,359,104,612,1
39,1767,5,1,2,359,110,0,1
102,1280,3,1,0,37,94,610,0
39,1569,2,1,2,215,73,137,1
113,1597,8,3,2,189,52,211,1
104,1550,8,1,0,108,52,569,1
83,1669,2,3,2,224,127,171,1
41,2247,6,1,2,311,109,600,1
78,1458,9,1,0,19,0,181,1
50,1500,4,3,0,41,59,377,1
117,1897,4,2,2,361,94,543,1
62,1110,1,1,0,19,121,612,1
80,1614,8,1,0,67,52,211,0
104,1904,6,1,0,19,17,568,1
58,1133,3,1,0,19,88,612,0
120,1600,2,3,0,19,70,612,1
66,1714,4,1,0,31,104,337,1
129,1779,5,2,2,19,33,340,1
38,1726,5,3,0,19,109,242,0
21,1569,9,1,2,350,52,569,1
74,1035,7,3,0,309,20,406,1
54,1653,3,3,0,37,33,559,0
35,1997,4,3,2,102,96,501,1
47,1406,6,1,2,298,90,131,0
10,1414,4,0,1,26,99,612,1
71,1467,3,3,2,317,61,334,1
68,1719,5,1,0,361,102,612,1
41,1383,4,3,2,108,30,612,1
112,1460,2,2,0,19,50,612,1
28,1139,5,1,0,108,106,612,1
74,1712,4,3,0,19,109,385,1
87,1728,6,2,2,19,77,151,1
26,1189,5,3,0,315,94,144,1
41,1703,5,2,2,108,38,181,1
33,1558,4,3,2,19,104,337,1
40,1904,4,1,0,253,109,385,0
61,1704,3,3,2,315,94,0,1
75,2043,4,3,2,104,32,612,1
53,2008,10,2,2,19,58,470,1
39,1770,5,1,2,19,90,386,1
21,1821,5,3,2,211,17,181,0
96,1878,7,3,0,19,110,561,1
29,1610,5,3,2,19,109,390,1
49,1538,3,1,2,19,122,612,1
19,2134,8,3,2,104,106,232,1
47,1598,5,3,2,203,109,371,1
51,1311,4,3,2,19,61,80,0
42,2018,4,3,0,361,33,274,0
61,1433,1,3,2,19,103,612,1
30,1318,10,3,0,19,52,569,1
55,1808,1,1,2,158,121,612,0
38,2020,6,3,0,19,26,612,1
27,1405,3,3,2,19,94,132,1
71,1958,2,0,1,248,50,612,1
114,1693,4,0,1,19,50,592,1
41,1500,5,3,2,19,74,263,0
77,1803,6,1,2,102,102,582,1
84,1530,3,3,0,19,38,277,1
48,1653,6,3,0,19,104,314,1
75,1559,2,2,2,19,28,612,0
25,1500,3,1,2,19,10,612,1
108,1720,4,1,0,19,61,330,1
94,1755,5,1,0,19,52,612,1
63,2267,1,1,2,374,103,612,1
92,1155,4,3,0,19,82,612,1
59,1500,7,3,2,313,22,0,0
43,1633,5,3,2,20,58,377,1
31,1500,4,0,1,102,90,129,1
105,1790,6,3,2,31,90,459,1
47,1383,4,1,2,19,31,612,1
81,1710,1,1,2,187,120,612,1
73,1500,3,1,2,102,127,556,0
48,1729,1,3,2,108,93,612,1
47,1552,9,0,1,102,109,9,1
50,1438,2,1,0,311,70,612,1
65,1955,10,1,2,19,52,569,1
47,1662,3,1,2,225,109,99,1
25,1795,6,1,2,187,52,569,1
90,1801,3,1,0,19,109,504,1
29,1975,10,0,1,136,102,181,1
104,1408,2,1,0,40,48,612,1
24,1542,5,3,0,102,106,612,1
75,1940,9,3,2,19,108,314,1
